column,pathway,direction,v1_mean,v2_mean,diff,log2fc,rank_biserial,u_pvalue,q_value,abs_rank_biserial
s-CHAD,CHAD,s,0.03060307639189199,0.017517994578141488,0.013085081813750503,0.8048390249393035,0.06699370613384437,8.063456423570178e-27,1.1611377249941056e-26,0.06699370613384437
r-OSTN,OSTN,r,0.16714669641567417,0.18765900918378392,-0.020512312768109747,-0.16699871125758511,-0.06679736936823011,1.1320563045085832e-26,1.6242546977731848e-26,0.06679736936823011
r-THBS,THBS,r,8.19904517793747,8.384028189447026,-0.18498301150955676,-0.03218765755900799,-0.06677068488353433,1.1853903080662123e-26,1.694637407921372e-26,0.06677068488353433
r-PMCH,PMCH,r,0.026220933923464848,0.017868258404108432,0.008352675519356416,0.5533200222859058,0.06624348847502648,2.9325993822911944e-26,4.1773717819687515e-26,0.06624348847502648
s-CD226,CD226,s,1.4374745678012366,1.3548640485655867,0.08261051923564988,0.08538833749889853,0.06591914643696173,5.102136453504061e-26,7.241742063038022e-26,0.06591914643696173
s-TRAIL,TRAIL,s,0.036580550278074574,0.023778948287432905,0.012801601990641669,0.6213918484229116,0.06514189166184337,1.9026750382395769e-25,2.6909261255102585e-25,0.06514189166184337
r-LIFR,LIFR,r,0.4392109986842638,0.43257110423894457,0.0066398944453192055,0.021976886138692097,0.06462442302173677,4.531377433643221e-25,6.385855742785465e-25,0.06462442302173677
r-LAMININ,LAMININ,r,42.62773429465544,41.12267969112833,1.5050546035271068,0.051858098278941056,0.06343889988667151,3.224799849263521e-24,4.5284423415189865e-24,0.06343889988667151
s-CD99,CD99,s,1.09266050612489,0.8585812718541798,0.2340792342707102,0.34781861042202894,0.06276334893018864,9.7101919675426e-24,1.3587406428080813e-23,0.06276334893018864
r-ESAM,ESAM,r,0.16426692489171812,0.09795572244807985,0.06631120244363828,0.7458403367948694,0.061777448722500905,4.751770724084496e-23,6.625708474427679e-23,0.061777448722500905
s-ESAM,ESAM,s,0.16426692489171812,0.09795572244807985,0.06631120244363828,0.7458403367948694,0.06171086518772162,5.284987864806649e-23,7.343351559520817e-23,0.06171086518772162
s-THBS,THBS,s,8.19904517793747,8.384028189447026,-0.18498301150955676,-0.03218765755900799,-0.0612682213261867,1.068713722565014e-22,1.4797574620130964e-22,0.0612682213261867
s-LEP,LEP,s,0.07323554832994815,0.0780557743843263,-0.004820226054378152,-0.09196126350071122,-0.06111688764913881,1.358066340987168e-22,1.8738476342540716e-22,0.06111688764913881
